gbifID,scientificName,family,order,eventDate,basisOfRecord,decimalLatitude,decimalLongitude,stateProvince,datasetName,recordedBy,n_individuals,X,Y
4729583791,"Icterus pyrrhopterus (Vieillot, 1819)",Icteridae,Passeriformes,2023-11-03,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,5,305693.68330693664,7749238.22244161
5331011797,"Zonotrichia capensis (P.L.S.Müller, 1776)",Passerellidae,Passeriformes,2024-01-29,HUMAN_OBSERVATION,-20.097754,-43.48859,Minas Gerais,,obsr3066956,2,658017.6551628779,7776984.886085302
2723155544,"Eupsittula aurea (J.F.Gmelin, 1788)",Psittacidae,Psittaciformes,2016-10-15,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,3,632548.598389779,7840098.72007939
4630918344,"Molothrus bonariensis (Gmelin, 1789)",Icteridae,Passeriformes,2023-11-03,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,1,305693.68330693664,7749238.22244161
5164099417,"Myiothlypis flaveola S.F.Baird, 1865",Parulidae,Passeriformes,2025-05-08T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,4,658080.9597998535,7777023.389103258
2789198704,"Thraupis sayaca (Linnaeus, 1766)",Thraupidae,Passeriformes,2016-10-16,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,8,632548.598389779,7840098.72007939
3745700127,"Myiophobus fasciatus flammiceps (Temminck, 1822)",Tyrannidae,Passeriformes,1973-09-05,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Ivan Sazima,6,631715.4776308604,7841859.0227122335
5588882629,"Myiothlypis flaveola S.F.Baird, 1865",Parulidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.643545,-43.52514,Minas Gerais,,obsr1359206,3,654635.6731366977,7827294.054843359
5163998394,"Ardea alba Linnaeus, 1758",Ardeidae,Pelecaniformes,2025-05-08T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,6,658080.9597998535,7777023.389103258
5301890022,"Augastes scutatus (Temminck, 1824)",Trochilidae,Apodiformes,2024-01-29,HUMAN_OBSERVATION,-20.098928,-43.49928,Minas Gerais,,obsr3066956,6,656898.6503140766,7776865.034611004
4631231363,"Crotophaga ani Linnaeus, 1758",Cuculidae,Cuculiformes,2023-11-04,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,7,305693.68330693664,7749238.22244161
3745700171,"Elaenia obscura sordida Zimmer, 1941",Tyrannidae,Passeriformes,1973-07-20,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Antônio Corrêa Filho,3,631715.4776308604,7841859.0227122335
5640631132,"Gnorimopsar chopi (Vieillot, 1819)",Icteridae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.606527,-43.495632,Minas Gerais,,obsr1359206,6,657766.2083815779,7831364.345306104
5362043018,"Sittasomus griseicapillus (Vieillot, 1818)",Furnariidae,Passeriformes,2024-01-05,HUMAN_OBSERVATION,-20.1026,-43.494,Minas Gerais,,obsr398519,10,657447.0936986138,7776453.59906376
5164132415,"Colonia colonus (Vieillot, 1818)",Tyrannidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,2,658080.9597998535,7777023.389103258
5549684421,"Contopus cinereus (Spix, 1825)",Tyrannidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.635796,-43.524536,Minas Gerais,,obsr1359206,10,654706.437249784,7828151.197953573
5164031365,"Tachyphonus coronatus (Vieillot, 1822)",Thraupidae,Passeriformes,2025-05-08T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,1,658080.9597998535,7777023.389103258
5339906159,"Sicalis flaveola (Linnaeus, 1766)",Thraupidae,Passeriformes,2024-07-18,HUMAN_OBSERVATION,-20.332607,-46.83823,Minas Gerais,,obsr2661064,3,308093.49329704023,7750641.770944715
5322499799,"Thraupis ornata (Sparrman, 1789)",Thraupidae,Passeriformes,2024-01-06,HUMAN_OBSERVATION,-20.097754,-43.48859,Minas Gerais,,obsr1883460,4,658017.6551628779,7776984.886085302
5559132079,"Chrysomus ruficapillus (Vieillot, 1819)",Icteridae,Passeriformes,2024-12-07,HUMAN_OBSERVATION,-20.342236,-46.857098,Minas Gerais,,obsr2661064,5,306135.2109768133,7749553.67220656
5164039321,"Saltator similis d'Orbigny & Lafresnaye, 1837",Thraupidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,9,658080.9597998535,7777023.389103258
5070110986,"Hylophilus amaurocephalus (Nordmann, 1835)",Vireonidae,Passeriformes,2025-02-14T17:11,HUMAN_OBSERVATION,-20.101632,-43.484632,Minas Gerais,iNaturalist research-grade observations,filipeprates,2,658427.6350174166,7776551.86888182
5630423887,"Troglodytes musculus J.F.Naumann, 1823",Troglodytidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.606527,-43.495632,Minas Gerais,,obsr1359206,4,657766.2083815779,7831364.345306104
5608745582,"Clibanornis rectirostris (M.Wied-Neuwied, 1831)",Furnariidae,Passeriformes,2024-07-18,HUMAN_OBSERVATION,-20.332607,-46.83823,Minas Gerais,,obsr2661064,8,308093.49329704023,7750641.770944715
4660157856,"Aratinga auricapillus (Kuhl, 1820)",Psittacidae,Psittaciformes,2023-08-23,HUMAN_OBSERVATION,-14.96894,-44.047916,Minas Gerais,,obsr1089201,3,602375.010966715,8344889.659306865
