gbifID,scientificName,family,order,eventDate,basisOfRecord,decimalLatitude,decimalLongitude,stateProvince,datasetName,recordedBy,n_individuals
5357111079,"Cranioleuca pallida (Wied-Neuwied, 1831)",Furnariidae,Passeriformes,2024-01-29,HUMAN_OBSERVATION,-20.097754,-43.48859,Minas Gerais,,obsr553166,3
3745700155,"Embernagra longicauda Strickland, 1844",Thraupidae,Passeriformes,1973-12-17,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Ivan Sazima,9
5070084509,"Knipolegus nigerrimus (Vieillot, 1818)",Tyrannidae,Passeriformes,2025-02-15T17:58,HUMAN_OBSERVATION,-20.097114,-43.489374,Minas Gerais,iNaturalist research-grade observations,filipeprates,1
5390215531,"Stilpnia cayana (Linnaeus, 1766)",Thraupidae,Passeriformes,2024-07-16,HUMAN_OBSERVATION,-20.325893,-46.83702,Minas Gerais,,obsr2661064,10
5571304319,"Phaethornis pretrei (R.Lesson & Delattre, 1839)",Trochilidae,Apodiformes,2024-02-14,HUMAN_OBSERVATION,-20.342585,-46.859455,Minas Gerais,,obsr4596723,1
3294004349,"Passer domesticus (Linnaeus, 1758)",Passeridae,Passeriformes,2020-02-23,HUMAN_OBSERVATION,-20.343294,-46.84829,Minas Gerais,,obsr1211577,5
5164015370,"Chiroxiphia caudata (Shaw, 1793)",Pipridae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,2
5164028409,"Coereba flaveola (Linnaeus, 1758)",Thraupidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,5
3745700552,"Embernagra longicauda Strickland, 1844",Thraupidae,Passeriformes,1979-01-13,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Jacques Marie Edme Vielliard,9
2709336549,"Elaenia cristata Pelzeln, 1868",Tyrannidae,Passeriformes,2016-10-14,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,1
5070065528,"Chlorostilbon lucidus (Shaw, 1812)",Trochilidae,Apodiformes,2025-02-15T09:29,HUMAN_OBSERVATION,-20.098598,-43.488871,Minas Gerais,iNaturalist research-grade observations,filipeprates,4
3745700174,"Myiophobus fasciatus flammiceps (Temminck, 1822)",Tyrannidae,Passeriformes,1973-07-22,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Antônio Corrêa Filho,7
2716972848,"Caracara plancus (J.F.Miller, 1777)",Falconidae,Falconiformes,2016-10-14,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,8
5070081588,"Daptrius Vieillot, 1816",Falconidae,Falconiformes,2025-02-15T10:05,HUMAN_OBSERVATION,-20.096893,-43.488132,Minas Gerais,iNaturalist research-grade observations,filipeprates,7
4702225872,"Gnorimopsar chopi (Vieillot, 1819)",Icteridae,Passeriformes,2023-08-23,HUMAN_OBSERVATION,-14.96894,-44.047916,Minas Gerais,,obsr1089201,3
4648616747,"Phacellodomus rufifrons (Wied-Neuwied, 1821)",Furnariidae,Passeriformes,2023-11-04,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,7
5164001324,"Schiffornis virescens (Lafresnaye, 1838)",Cotingidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,2
3214469481,"Zenaida auriculata (Des Murs, 1847)",Columbidae,Columbiformes,2020-12-20,HUMAN_OBSERVATION,-20.315615,-46.833275,Minas Gerais,,obsr1115302,6
5467450046,"Psittacara leucophthalmus (Müller & Pls, 1776)",Psittacidae,Psittaciformes,2024-07-16,HUMAN_OBSERVATION,-20.325893,-46.83702,Minas Gerais,,obsr2661064,1
5649991627,"Myiarchus ferox (Gmelin, 1789)",Tyrannidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.606527,-43.495632,Minas Gerais,,obsr1359206,5
3203688706,"Geositta poeciloptera (Wied-Neuwied, 1830)",Furnariidae,Passeriformes,2020-07-31,HUMAN_OBSERVATION,-20.132963,-46.985428,Minas Gerais,,obsr280745,7
5678130806,"Sporophila caerulescens (Vieillot, 1823)",Thraupidae,Passeriformes,2024-12-07,HUMAN_OBSERVATION,-20.342236,-46.857098,Minas Gerais,,obsr2661064,6
4664694311,"Zonotrichia capensis (P.L.S.Müller, 1776)",Passerellidae,Passeriformes,2023-11-04,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,4
5543649176,"Mustelirallus albicollis (Vieillot, 1819)",Rallidae,Gruiformes,2024-02-03,HUMAN_OBSERVATION,-19.606527,-43.495632,Minas Gerais,,obsr1359206,3
4816016630,"Colaptes campestris (Vieillot, 1818)",Picidae,Piciformes,2023-11-04,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,1
3205690661,"Cariama cristata (Linnaeus, 1766)",Cariamidae,Cariamiformes,2020-12-20,HUMAN_OBSERVATION,-20.315615,-46.833275,Minas Gerais,,obsr1115302,5
4837081613,"Rhopospina caerulescens (Wied-Neuwied, 1830)",Thraupidae,Passeriformes,2023-11-04,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,9
5357516162,"Sirystes sibilator (Vieillot, 1818)",Tyrannidae,Passeriformes,2024-01-27,HUMAN_OBSERVATION,-20.15265,-43.520786,Minas Gerais,,obsr753626,10
5553224789,"Tyrannus savana Vieillot, 1808",Tyrannidae,Passeriformes,2024-02-03,HUMAN_OBSERVATION,-19.606527,-43.495632,Minas Gerais,,obsr1359206,9
5140323760,"Penelope obscura Temminck, 1815",Cracidae,Galliformes,2025-03-30T14:46:33,HUMAN_OBSERVATION,-20.098425,-43.487982,Minas Gerais,iNaturalist research-grade observations,Renan Souza,4
5164084406,"Scytalopus petrophilus B.M.Whitney, Vasconcelos, Silveira & Pacheco, 2010",Rhinocryptidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,7
5354427960,"Mimus saturninus (Lichtenstein, 1823)",Mimidae,Passeriformes,2024-07-16,HUMAN_OBSERVATION,-20.325893,-46.83702,Minas Gerais,,obsr2661064,1
2797486911,"Picumnus cirratus Temminck, 1825",Picidae,Piciformes,2016-10-14,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,8
3745700204,"Conopophaga lineata lineata (Wied-Neuwied, 1831)",Conopophagidae,Passeriformes,1973-07-26,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Antônio Corrêa Filho,4
4820381581,"Thraupis palmarum (Wied-Neuwied, 1821)",Thraupidae,Passeriformes,2023-11-03,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,9
5652842052,"Tolmomyias sulphurescens (Spix, 1825)",Tyrannidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.643545,-43.52514,Minas Gerais,,obsr1359206,7
5070092536,"Tangara cyanoventris (Vieillot, 1819)",Thraupidae,Passeriformes,2025-02-15T09:45,HUMAN_OBSERVATION,-20.098306,-43.489084,Minas Gerais,iNaturalist research-grade observations,filipeprates,4
5498445539,"Ardea alba Linnaeus, 1758",Ardeidae,Pelecaniformes,2024-12-07,HUMAN_OBSERVATION,-20.342236,-46.857098,Minas Gerais,,obsr3387929,2
5674659376,"Phaethornis pretrei (R.Lesson & Delattre, 1839)",Trochilidae,Apodiformes,2024-07-18,HUMAN_OBSERVATION,-20.332607,-46.83823,Minas Gerais,,obsr2661064,8
5306829588,"Sporophila nigricollis (Vieillot, 1823)",Thraupidae,Passeriformes,2024-01-29,HUMAN_OBSERVATION,-20.098928,-43.49928,Minas Gerais,,obsr553166,1
5430102590,"Pitangus sulphuratus (Linnaeus, 1766)",Tyrannidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.606527,-43.495632,Minas Gerais,,obsr1359206,8
5164118433,"Hemitriccus nidipendulus (Wied-Neuwied, 1831)",Tyrannidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,5
5164086359,"Patagioenas picazuro (Temminck, 1813)",Columbidae,Columbiformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,2
5654835618,"Volatinia jacarina (Linnaeus, 1766)",Thraupidae,Passeriformes,2024-07-18,HUMAN_OBSERVATION,-20.332607,-46.83823,Minas Gerais,,obsr2661064,3
5318677779,"Myiothlypis leucophrys (Pelzeln, 1868)",Parulidae,Passeriformes,2024-01-29,HUMAN_OBSERVATION,-20.097414,-43.485508,Minas Gerais,,obsr553166,3
5063314950,"Caracara plancus (J.F.Miller, 1777)",Falconidae,Falconiformes,2025-01-13T11:08,HUMAN_OBSERVATION,-20.096662,-43.493308,Minas Gerais,iNaturalist research-grade observations,Diego Rolim,1
3745700090,"Tyrannus melancholicus Vieillot, 1819",Tyrannidae,Passeriformes,1974-02-07,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Otávio Cardozo de Oliveira,8
5637337322,"Eupetomena cirrochloris (Vieillot, 1818)",Trochilidae,Apodiformes,2024-02-04,HUMAN_OBSERVATION,-19.643545,-43.52514,Minas Gerais,,obsr1359206,9
5840028860,"Molothrus oryzivorus (Gmelin, 1788)",Icteridae,Passeriformes,2025-09-30T17:08,HUMAN_OBSERVATION,-19.522096,-43.745428,Minas Gerais,iNaturalist research-grade observations,Davidson Moreira,4
5070000962,"Penelope obscura Temminck, 1815",Cracidae,Galliformes,2025-02-14T18:02,HUMAN_OBSERVATION,-20.097809,-43.489196,Minas Gerais,iNaturalist research-grade observations,filipeprates,1
5608228148,"Tyrannus melancholicus Vieillot, 1819",Tyrannidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.606527,-43.495632,Minas Gerais,,obsr1359206,10
5452828510,"Myiarchus ferox (Gmelin, 1789)",Tyrannidae,Passeriformes,2024-07-16,HUMAN_OBSERVATION,-20.325893,-46.83702,Minas Gerais,,obsr2661064,10
